,DateTime,R03-C09,R04-C09,R05-C09,R06-C09,R03-C10,R04-C10,R05-C10,R06-C10,R03-C11,R04-C11,R05-C11,R06-C11,R03-C12,R04-C12,R05-C12,R06-C12,StripTime,TotHour,H1048_1,H1048_2,H841_1,H841_2
0,2/1/20 20:00,1587,1901,2070,2397,976,1291,1082,1434,668,1587,2030,2004,431,604,1099,1187,2020-02-01 20:00:00,0.0,1988.75,1195.75,1572.25,830.25
1,2/2/20 10:30,2203,2862,2805,3073,1683,1806,1814,1703,1957,2500,3089,3515,1387,1195,1501,1722,2020-02-02 10:30:00,14.5,2735.75,1751.5,2765.25,1451.25
2,2/2/20 20:21,2942,3779,3026,3024,1791,2164,2115,2148,2235,2627,3429,4069,1721,1998,1950,1911,2020-02-02 20:21:00,24.35,3192.75,2054.5,3090.0,1895.0
3,2/3/20 11:13,3848,4713,3686,3398,2458,2875,2786,2807,2658,3644,4717,5411,2443,2571,2556,2676,2020-02-03 11:13:00,39.21666666666667,3911.25,2731.5,4107.5,2561.5
4,2/3/20 19:43,3913,4959,4613,5225,2970,3212,3011,2889,3338,4352,5415,5823,2109,2773,3229,3591,2020-02-03 19:43:00,47.71666666666667,4677.5,3020.5,4732.0,2925.5
5,2/4/20 9:25,5098,6480,5307,5671,3357,3861,3935,4092,3681,4583,6035,6664,3153,3851,3475,3793,2020-02-04 09:25:00,61.416666666666664,5639.0,3811.25,5240.75,3568.0
6,2/4/20 19:17,5556,7301,5844,5520,3638,4274,4537,4512,4034,4788,6156,7025,2790,4681,4017,4182,2020-02-04 19:17:00,71.28333333333333,6055.25,4240.25,5500.75,3917.5
7,2/5/20 16:08,6838,7851,7086,7297,4680,5369,5446,5444,5076,6170,7094,7547,3912,6124,6042,6888,2020-02-05 16:08:00,92.13333333333334,7268.0,5234.75,6471.75,5741.5
8,2/6/20 11:04,8319,7457,6729,6372,5263,6326,6306,6530,5424,6186,7187,7407,5271,7342,7123,8090,2020-02-06 11:04:00,111.06666666666666,7219.25,6106.25,6551.0,6956.5
